date,currency_code,name,local_price,dollar_ex,dollar_price
2022-07-01,ARS,Argentina,590.0,129,4.57
2022-07-01,AUD,Australia,6.7,1,6.7
2022-07-01,EUR,Austria,4.35,1,4.35
2022-07-01,AZN,Azerbaijan,4.7,1,4.7
2022-07-01,BHD,Bahrain,1.6,1,1.6
2022-07-01,EUR,Belgium,4.6,1,4.6
2022-07-01,BRL,Brazil,22.9,5,4.58
2022-07-01,GBP,Britain,3.69,1,3.69
2022-07-01,CAD,Canada,6.77,1,6.77
2022-07-01,CLP,Chile,3400.0,928,3.66
2022-07-01,CNY,China,24.0,6,4.0
2022-07-01,COP,Colombia,14950.0,4295,3.48
2022-07-01,CRC,Costa Rica,2650.0,678,3.91
2022-07-01,HRK,Croatia,27.0,7,3.86
2022-07-01,CZK,Czech Republic,95.0,23,4.13
2022-07-01,EGP,Egypt,46.0,18,2.56
2022-07-01,EUR,Estonia,3.4,1,3.4
2022-07-01,EUR,Euro area,4.65,1,4.65
2022-07-01,EUR,Finland,5.25,1,5.25
2022-07-01,EUR,France,4.7,1,4.7
2022-07-01,EUR,Germany,4.58,1,4.58
2022-07-01,EUR,Greece,4.0,1,4.0
2022-07-01,GTQ,Guatemala,26.0,7,3.71
2022-07-01,HNL,Honduras,89.0,24,3.71
2022-07-01,HKD,Hong Kong,21.0,7,3.0
2022-07-01,HUF,Hungary,1030.0,389,2.65
2022-07-01,INR,India,191.0,79,2.42
2022-07-01,IDR,Indonesia,35000.0,14977,2.34
2022-07-01,EUR,Ireland,5.0,1,5.0
2022-07-01,ILS,Israel,17.0,3,5.67
2022-07-01,EUR,Italy,5.1,1,5.1
2022-07-01,JPY,Japan,390.0,137,2.85
2022-07-01,JOD,Jordan,2.3,1,2.3
2022-07-01,KWD,Kuwait,1.3,1,1.3
2022-07-01,EUR,Latvia,3.0,1,3.0
2022-07-01,LBP,Lebanon,130000.0,25600,5.08
2022-07-01,EUR,Lithuania,3.05,1,3.05
2022-07-01,MYR,Malaysia,10.9,4,2.72
2022-07-01,MXN,Mexico,70.0,20,3.5
2022-07-01,MDL,Moldova,60.0,19,3.16
2022-07-01,EUR,Netherlands,4.5,1,4.5
2022-07-01,NZD,New Zealand,7.1,1,7.1
2022-07-01,NIO,Nicaragua,139.0,35,3.97
2022-07-01,NOK,Norway,62.0,9,6.89
2022-07-01,OMR,Oman,1.42,1,1.42
2022-07-01,PKR,Pakistan,700.0,221,3.17
2022-07-01,PEN,Peru,13.9,3,4.63
2022-07-01,PHP,Philippines,155.0,56,2.77
2022-07-01,PLN,Poland,16.68,4,4.17
2022-07-01,EUR,Portugal,4.0,1,4.0
2022-07-01,QAR,Qatar,13.0,3,4.33
2022-07-01,RON,Romania,11.0,4,2.75
2022-07-01,SAR,Saudi Arabia,17.0,3,5.67
2022-07-01,SGD,Singapore,5.9,1,5.9
2022-07-01,EUR,Slovakia,3.9,1,3.9
2022-07-01,EUR,Slovenia,3.2,1,3.2
2022-07-01,ZAR,South Africa,39.9,17,2.35
2022-07-01,KRW,South Korea,4600.0,1313,3.5
2022-07-01,EUR,Spain,4.58,1,4.58
2022-07-01,LKR,Sri Lanka,1340.0,360,3.72
2022-07-01,SEK,Sweden,57.0,10,5.7
2022-07-01,CHF,Switzerland,6.5,1,6.5
2022-07-01,TWD,Taiwan,75.0,29,2.59
2022-07-01,THB,Thailand,128.0,36,3.56
2022-07-01,TRY,Turkey,47.0,17,2.76
2022-07-01,AED,United Arab Emirates,18.0,3,6.0
2022-07-01,USD,United States,5.15,1,5.15
2022-07-01,UYU,Uruguay,255.0,41,6.22
2022-07-01,VES,Venezuela,10.0,5,2.0
2022-07-01,VND,Vietnam,69000.0,23417,2.95
